0: d0, <-2($73), ->1($17)
1: d1, <-3974($14), ->3973($9)
2: d1, <-13566($94), ->13565($85)
3: d553, <-10040($92), ->10039($20)
4: d553, <-11462($38), ->11461($33)
5: d448, <-20992($24), ->20991($101)
6: d448, <-14832($58), ->14831($63)
7: d266, <-9754($27), ->9753($86)
8: d266, <-19088($26), ->19087($93)
9: d610, <-16456($21), ->16455($52)
10: d610, <-4066($59), ->4065($72)
11: d51, <-6220($82), ->6219($65)
12: d51, <-21922($21), ->21921($78)
13: d276, <-23082($41), ->23081($56)
14: d276, <-8918($63), ->8917($76)
15: d196, <-3846($39), ->3845($95)
16: d196, <-23954($37), ->23953($89)
17: d440, <-3394($62), ->3393($58)
18: d440, <-21048($60), ->21047($7)
19: d203, <-20262($52), ->20261($1)
20: d203, <-18620($21), ->18619($94)
21: d484, <-15026($50), ->15025($30)
22: d484, <-24956($58), ->24955($43)
23: d74, <-16634($98), ->16633($55)
24: d74, <-19048($70), ->19047($84)
25: d263, <-22862($64), ->22861($90)
26: d263, <-16684($67), ->16683($83)
27: d317, <-21714($23), ->21713($20)
28: d317, <-25202($78), ->25201($81)
29: d462, <-8180($90), ->8179($25)
30: d462, <-21722($81), ->21721($52)
31: d612, <-2248($16), ->2247($54)
32: d612, <-10490($70), ->10489($26)
33: d770, <-19706($68), ->19705($100)
34: d770, <-16578($68), ->16577($24)
35: d750, <-8698($2), ->8697($24)
36: d750, <-18732($58), ->18731($65)
37: d114, <-13196($81), ->13195($44)
38: d114, <-7658($62), ->7657($90)
39: d304, <-5318($48), ->5317($26)
40: d304, <-4728($57), ->4727($85)
41: d578, <-24706($4), ->24705($61)
42: d578, <-9966($64), ->9965($40)
43: d175, <-23060($45), ->23059($46)
44: d175, <-12852($57), ->12851($83)
45: d266, <-3092($96), ->3091($63)
46: d266, <-12316($49), ->12315($92)
47: d489, <-18516($6), ->18515($79)
48: d489, <-12422($55), ->12421($54)
49: d381, <-18490($49), ->18489($52)
50: d381, <-12056($52), ->12055($41)
51: d463, <-2036($4), ->2035($39)
52: d463, <-7088($64), ->7087($51)
53: d389, <-7558($40), ->7557($70)
54: d389, <-20460($10), ->20459($93)
55: d689, <-5950($59), ->5949($53)
56: d689, <-24234($64), ->24233($20)
57: d36, <-20928($57), ->20927($82)
58: d36, <-3168($27), ->3167($37)
59: d606, <-16508($90), ->16507($95)
60: d606, <-14328($72), ->14327($82)
